gparent,status,gen,case,Ngen,Ncase,dir,worker_id,elapsed_time,E_driver,IFAR,P_alpha_avg,P_driver_avg,P_electric_generated,P_electric_net,P_fus_avg,P_fus_peak,P_neutron_avg,Q_plant,Q_target,R_fuel,R_hotspot,R_target,TBR,Te0_peak,ablator,capital_cost,duty_cycle,eta_conversion,eta_coupling,eta_thermal,flattop_duration,levelized_CoE,max_Psol_R,max_beta_normal,max_flattop,max_fusion,max_hds03,max_ifar,max_log10_flattop,max_ne_peaking,max_oh_coil_j,max_oh_coil_stress,max_pl_stress,max_power_electric_net,max_q95,max_qpol_omp,max_tf_coil_j,max_tf_coil_stress,max_transport_error,max_zeff,max_ωpe_ωce,min_R0,min_capital_cost,min_flattop_duration,min_levelized_CoE,min_lh_power_threshold_fraction,min_log10_levelized_CoE,min_power_electric_net,min_q95,min_qmin,min_required_B0,min_βn,n_beams,ne0_peak,peak_wall_flux_avg,power_electric_net,rep_rate,rep_rate_pellet,req_flattop,req_power_electric_net,tau_pulse,zero_ohmic
/gen02/case95,success,2,95,30,50,ife_moop_run,3,1.8517570495605469,6.8922364324635526,2.7371086243267193,25.148530773160214,133.14164126665247,519.3637120967115,-180.6946470935244,125.74265386580109,3.3896051988776526e6,100.59412309264086,0.7418863088749692,0.9444276987240011,0.7060223042265829,0.21180669126797488,1.3561646501396256,1.105381664021936,12.429958165625,HDC,50.25840895304592,3.709654856189042e-8,0.19435080162225998,0.85,27.540781407453384,NaN,Inf,NaN,NaN,NaN,-3.3896051988776526e9,NaN,0.0,NaN,NaN,NaN,NaN,NaN,180.6946470935244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.25840895304592,NaN,Inf,NaN,Inf,2.806946470935244,NaN,NaN,NaN,NaN,16.0,1.4274964149021364e31,1.1039007206372657e-6,2.606946470935244,19.31762535590534,19.31762535590534,NaN,280.6946470935244,1.920347241362672,NaN
/gen02/case96,fail,2,96,30,50,ife_moop_run,4,0.827078104019165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
/gen02/case97,success,2,97,30,50,ife_moop_run,7,1.4787380695343018,2.238369776646196,73.73749390409395,956.4689120533633,34.730262014321816,1550.1792430526873,1227.0097862482191,4782.344560266817,2.723217081927743e7,3825.875648213453,4.7967999772658425,137.6996395332321,4.453999420477213,1.3361998261431636,4.92854671543248,1.105381664021936,2.69062309140625,HDC,28.380849899784483,1.7561378385895825e-7,0.11269858594830824,0.85,12.738871019396303,NaN,0.3503287071984054,NaN,NaN,NaN,-2.723217081927743e10,NaN,43.73749390409395,NaN,NaN,NaN,NaN,NaN,-1227.0097862482191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.380849899784483,NaN,0.3503287071984054,NaN,-0.45552427356716785,0.0,NaN,NaN,NaN,NaN,16.0,1.1852521843111146e32,3.372179976535269e-5,11.070097862482193,15.51587337207484,15.515873372074841,NaN,1127.0097862482191,11.31833056687769,NaN
/gen02/case98,success,2,98,30,50,ife_moop_run,2,1.431041955947876,6.213077876232589,3.6062036182613353,35.28873672171292,105.09499542256117,508.715149743598,-33.89730726833892,176.4436836085646,4.295711953764398e6,141.1549468868517,0.9375294340734363,1.6788971054152282,0.7768939386382686,0.2330681815914806,1.5036663573732467,1.105381664021936,12.660816918750001,HDC,46.46709328289229,4.1074374983160666e-8,0.1991897538161868,0.85,24.309263030506855,NaN,Inf,NaN,NaN,NaN,-4.295711953764398e9,NaN,0.0,NaN,NaN,NaN,NaN,NaN,33.89730726833892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.46709328289229,NaN,Inf,NaN,Inf,1.3389730726833893,NaN,NaN,NaN,NaN,16.0,1.2956713957454136e31,1.3563601133369458e-6,1.1389730726833893,16.91512604800753,16.91512604800753,NaN,133.89730726833892,2.4282630153973286,NaN
/gen02/case99,success,2,99,30,50,ife_moop_run,8,1.4567279815673828,6.5805653721151804,18.17731960547288,1018.4520705286483,55.05638611447371,1602.0060541165317,1306.1998338411627,5092.260352643242,5.219107371604131e7,4073.808282114593,5.415728082476456,92.49172915300635,3.725857063450764,1.1177571190352291,4.125291821523125,1.105381664021936,4.301354870312501,HDC,53.518698162652825,9.756956487136033e-8,0.19606540788335602,0.85,12.738871019396303,NaN,0.5668013965274503,NaN,NaN,NaN,-5.219107371604131e10,NaN,0.0,NaN,NaN,NaN,NaN,NaN,-1306.1998338411627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.518698162652825,NaN,0.5668013965274503,NaN,-0.2465690883762033,0.0,NaN,NaN,NaN,NaN,16.0,5.065697658741723e31,1.9361934587583044e-5,11.861998338411627,8.366513057946726,8.366513057946726,NaN,1206.1998338411627,11.661915088829783,NaN
/gen03/case01,success,3,1,30,50,ife_moop_run,2,1.227449893951416,4.464218568140896,3.8044781000204906,13.526016061449928,64.40873951368101,450.20070844716855,-771.5285917838769,67.63008030724964,2.374754828827567e6,54.10406424579971,0.36849464800592857,1.0500140325348921,0.6470062963747748,0.19410188891243244,1.2861475473532324,1.105381664021936,12.164561784375001,HDC,35.68706917942143,2.8478763149052772e-8,0.05337463795844606,0.85,45.62423088269305,NaN,Inf,NaN,NaN,NaN,-2.374754828827567e9,NaN,0.0,NaN,NaN,NaN,NaN,NaN,771.5285917838769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.68706917942143,NaN,Inf,NaN,Inf,8.715285917838768,NaN,NaN,NaN,NaN,16.0,1.373774483823703e31,4.434380024679668e-7,8.515285917838769,14.427774655420546,14.427774655420547,NaN,871.5285917838769,1.9738846654603965,NaN
/gen03/case02,success,3,2,30,50,ife_moop_run,3,1.4234890937805176,4.918630140568385,20.863110615658414,991.2713518229082,70.10275913356506,1776.370338039504,1219.6671256452876,4956.356759114541,3.3971845461359724e7,3965.0854072916327,3.1908749554360543,70.70130791387707,2.9808766015944417,0.8942629804783326,3.7632784992586057,1.105381664021936,4.870141839062501,HDC,44.46650484068529,1.4589601158853743e-7,0.12941174711467063,0.85,12.738871019396303,NaN,0.5207319432859169,NaN,NaN,NaN,-3.3971845461359722e10,NaN,0.0,NaN,NaN,NaN,NaN,NaN,-1219.6671256452876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.46650484068529,NaN,0.5207319432859169,NaN,-0.2833857805588013,0.0,NaN,NaN,NaN,NaN,16.0,3.944272444135945e31,3.210311390303561e-5,10.996671256452876,14.25249655495832,14.252496554958322,NaN,1119.6671256452876,10.236523196196211,NaN
/gen03/case03,success,3,3,30,50,ife_moop_run,4,1.422961950302124,4.307279417486526,36.16046191239851,1445.180828388347,47.34337900163901,2035.243606720378,1534.6240392464397,7225.904141941735,5.0470402185755566e7,5780.723313553388,4.065449572796275,152.6275541441936,4.30871134836692,1.2926134045100761,4.875103808916779,1.105381664021936,3.6066014359375003,HDC,41.71334949790631,1.4317112265812549e-7,0.09749067412564631,0.85,12.738871019396303,NaN,0.39016141169952046,NaN,NaN,NaN,-5.047040218575557e10,NaN,6.16046191239851,NaN,NaN,NaN,NaN,NaN,-1534.6240392464397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.71334949790631,NaN,0.39016141169952046,NaN,-0.4087556860298726,0.0,NaN,NaN,NaN,NaN,16.0,6.569841358782275e31,3.609458534610622e-5,14.146240392464398,10.991480796308732,10.991480796308732,NaN,1434.6240392464397,13.025644616165517,NaN
/gen03/case04,success,3,4,30,50,ife_moop_run,5,1.3917911052703857,1.5757202326466206,21.168165807960452,22.320412042149584,13.376407759130318,348.9190629565906,102.34978067570665,111.60206021074794,3.113543722620191e6,89.28164816859834,1.4150954236023328,8.343201120986452,1.372046987001371,0.4116140961004113,1.8902610402289282,1.105381664021936,4.5120372171875,HDC,18.926777358793064,3.584406391981855e-8,0.05776417160072764,0.85,45.83707047563254,NaN,2.6977786244293958,NaN,NaN,NaN,-3.113543722620191e9,NaN,0.0,NaN,NaN,NaN,NaN,NaN,-102.34978067570665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.926777358793064,NaN,2.6977786244293958,NaN,0.4310063092598017,0.0,NaN,NaN,NaN,NaN,16.0,4.9991590585018385e31,4.3055263855776097e-7,0.0,8.489075333292481,8.489075333292481,NaN,2.3497806757066546,4.22237552531136,NaN
/gen03/case05,fail,3,5,30,50,ife_moop_run,6,0.8626289367675781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
